"codigo_produto";"descricaoproduto";"codigo_marca";"codigo_grupo"
79000;SKU 79000;1;"160 "
360500;SKU 360500;290;FR  
546400;SKU 546400;56;DSG 
548000;SKU 548000;1;"500 "
1096700;SKU 1096700;120;OPFP
2779619;SKU 2779619;957;SERV
548200;SKU 548200;1;"500 "
2779620;SKU 2779620;957;SERV
548500;SKU 548500;1;"500 "
551100;SKU 551100;42;DSG 
551900;SKU 551900;1;"500 "
553200;SKU 553200;1;TDV 
553400;SKU 553400;131;DSG 
553500;SKU 553500;729;DSG 
554400;SKU 554400;1;"70  "
554800;SKU 554800;1;"500 "
556700;SKU 556700;1;"46  "
2779623;SKU 2779623;957;SERV
557600;SKU 557600;1;"80  "
567500;SKU 567500;1;DEQ 
567800;SKU 567800;1;"60  "
567900;SKU 567900;1;DFS 
568100;SKU 568100;1;"500 "
568300;SKU 568300;1;"500 "
568400;SKU 568400;1;DMA 
568500;SKU 568500;1;DFS 
568700;SKU 568700;1;"500 "
568800;SKU 568800;1;"500 "
568900;SKU 568900;1;"500 "
571300;SKU 571300;1;"130 "
571400;SKU 571400;1;"500 "
571800;SKU 571800;1;EA  
2816211;SKU 2816211;968;SERV
2731316;SKU 2731316;929;SERV
572300;SKU 572300;1;DTLS
572400;SKU 572400;1;"500 "
572500;SKU 572500;1;"500 "
572600;SKU 572600;11;"30  "
2816212;SKU 2816212;968;SERV
572800;SKU 572800;827;"30  "
572900;SKU 572900;1;"30  "
573000;SKU 573000;1;"500 "
573200;SKU 573200;1;"60  "
573400;SKU 573400;1;"20  "
573500;SKU 573500;1;"500 "
1136700;SKU 1136700;25;"52  "
581900;SKU 581900;1;"500 "
2816213;SKU 2816213;968;SERV
2816214;SKU 2816214;968;SERV
2816215;SKU 2816215;968;SERV
287300;SKU 287300;1;"500 "
582200;SKU 582200;1;DAT 
1472300;SKU 1472300;473;DSG 
583700;SKU 583700;1;"500 "
583800;SKU 583800;1;"500 "
584000;SKU 584000;16;EA  
584100;SKU 584100;72;"150 "
584200;SKU 584200;118;ACC 
584600;SKU 584600;1;"80  "
584900;SKU 584900;805;"180 "
585000;SKU 585000;1;"80  "
585100;SKU 585100;1;"80  "
585900;SKU 585900;300;DEA 
586000;SKU 586000;1;"500 "
586300;SKU 586300;2;"130 "
588100;SKU 588100;1;"130 "
588500;SKU 588500;1;"500 "
588700;SKU 588700;72;"150 "
588800;SKU 588800;338;"80  "
588900;SKU 588900;138;"11  "
589000;SKU 589000;138;"11  "
589100;SKU 589100;1;"11  "
589900;SKU 589900;1;"500 "
590500;SKU 590500;14;"500 "
590900;SKU 590900;1;"500 "
591100;SKU 591100;1;"20  "
591200;SKU 591200;1;"28  "
591400;SKU 591400;1;"500 "
591500;SKU 591500;1;"130 "
591600;SKU 591600;1;"500 "
2816216;SKU 2816216;968;SERV
591700;SKU 591700;1;"500 "
591800;SKU 591800;129;"39  "
592100;SKU 592100;195;OPJ 
2816217;SKU 2816217;968;SERV
592500;SKU 592500;1;"500 "
592700;SKU 592700;72;"150 "
592800;SKU 592800;1;"60  "
593100;SKU 593100;18;"45  "
593200;SKU 593200;1;"150 "
2816218;SKU 2816218;968;SERV
2816219;SKU 2816219;968;SERV
2816220;SKU 2816220;968;SERV
593700;SKU 593700;1;"67  "
2765101;SKU 2765101;945;SERV
2765102;SKU 2765102;945;SERV
2765103;SKU 2765103;945;SERV
2765104;SKU 2765104;945;SERV
2765105;SKU 2765105;945;SERV
2628000;SKU 2628000;699;MBA 
2765106;SKU 2765106;945;SERV
2765107;SKU 2765107;945;SERV
2765108;SKU 2765108;945;SERV
2765109;SKU 2765109;945;SERV
2765110;SKU 2765110;945;SERV
2765111;SKU 2765111;945;SERV
2765112;SKU 2765112;945;SERV
2816223;SKU 2816223;968;SERV
2816210;SKU 2816210;968;SERV
594000;SKU 594000;1;DTLS
2765113;SKU 2765113;945;SERV
2765114;SKU 2765114;945;SERV
2765115;SKU 2765115;945;SERV
596000;SKU 596000;1;DCT 
2765116;SKU 2765116;945;SERV
598200;SKU 598200;137;"500 "
2765117;SKU 2765117;945;SERV
2765118;SKU 2765118;945;SERV
2765119;SKU 2765119;945;SERV
598300;SKU 598300;94;"500 "
598400;SKU 598400;216;"500 "
602300;SKU 602300;1;"90  "
602900;SKU 602900;1;"80  "
2765120;SKU 2765120;945;SERV
2765123;SKU 2765123;945;SERV
603000;SKU 603000;1;"500 "
603100;SKU 603100;1;"500 "
603400;SKU 603400;1;"20  "
603700;SKU 603700;1;"80  "
603900;SKU 603900;1;"150 "
604200;SKU 604200;1;"500 "
604300;SKU 604300;1;"500 "
604500;SKU 604500;1;"80  "
604600;SKU 604600;1;"500 "
604700;SKU 604700;1;"500 "
